"item","Form","RetailPrice","RetailPriceUnit","Yield","CupEquivalentSize","CupEquivalentUnit","CupEquivalentPrice","Category","id"
"Grapes, frozen concentrate","Juice","0.7119","per pint","1","8","fluid ounces","0.3559","fruit","b49bb77e-f7a1-4f18-90cb-a5275c90fa8f"
"Honeydew","Fresh","0.9056","per pound","0.46","0.3748","pounds","0.7378","fruit","0edee77a-3bcf-49ee-931a-2550e71ae2ec"
"Kiwi","Fresh","2.1849","per pound","0.76","0.3858","pounds","1.1091","fruit","5a4152c8-ec86-4220-93c6-3614084e279a"
"Mangoes","Fresh","1.1513","per pound","0.71","0.3638","pounds","0.5898","fruit","baad2878-03d3-4a94-afce-1f847d4042b7"
"Mangoes","Dried","10.5527","per pound","1","0.1253","pounds","1.3219","fruit","a80864d1-2615-4b0f-a752-7d5bfda5d23e"
"Nectarines","Fresh","1.9062","per pound","0.91","0.3197","pounds","0.6696","fruit","df4c7b87-7c32-45e3-ad7d-378f408f9678"
"Oranges","Fresh","1.2131","per pound","0.68","0.4079","pounds","0.7276","fruit","72cef953-a2fb-49c5-94f2-b6f57e24f892"
"Oranges, ready-to-drink","Juice","0.9842","per pint","1","8","fluid ounces","0.4921","fruit","bbf3e06f-9545-4bb7-a0d3-9ee240997f72"
"Oranges, frozen concentrate","Juice","0.769","per pint","1","8","fluid ounces","0.3845","fruit","15392304-e7fe-4aa2-afe8-2309bf11711f"
"Papaya","Fresh","1.2904","per pound","0.62","0.3086","pounds","0.6424","fruit","0cfea890-652e-4bdf-acdc-82a6fb8504e8"
"Papaya","Dried","5.5089","per pound","1","0.1543","pounds","0.8502","fruit","d6ffc2f8-d405-4f30-adae-f728ce048c2f"
"Peaches","Fresh","1.7167","per pound","0.96","0.3417","pounds","0.6111","fruit","c1c2e307-eeec-4268-8d33-b9f1b6b30ec0"
"Peaches, packed in juice","Canned","2.0237","per pound","1","0.5401","pounds","1.0931","fruit","f1b1b13c-b27f-4f1d-bbef-a8d384b33ea3"
"Peaches, packed in syrup or water","Canned","1.8117","per pound","0.65","0.4409","pounds","1.229","fruit","b14aa41e-8f3f-478e-8084-2cb6877a690c"
"Peaches","Frozen","3.3867","per pound","1","0.3307","pounds","1.12","fruit","419266ee-c1ba-4df1-811c-07d1c4787d44"
"Pears","Fresh","1.5865","per pound","0.9","0.3638","pounds","0.6412","fruit","e4d7fe2c-138d-40f8-b93e-c44722afe70c"
"Pears, packed in juice","Canned","1.9546","per pound","1","0.5401","pounds","1.0557","fruit","e1d1cc58-a944-4a29-b813-9eb5f1850c20"
"Pears, packed in syrup or water","Canned","1.897","per pound","0.65","0.4409","pounds","1.2868","fruit","2a36ee19-5114-4ee6-96a8-fed9b6dbf348"
"Pineapple","Fresh","0.5685","per pound","0.51","0.3638","pounds","0.4055","fruit","59ddec5e-80db-4a27-94e6-fcc89051eb71"
"Pineapple, packed in juice","Canned","1.4344","per pound","1","0.5401","pounds","0.7748","fruit","ad17cf6b-6565-40ba-8d79-e683a45ab3a8"
"Pineapple, packed in syrup or water","Canned","1.4067","per pound","0.65","0.4409","pounds","0.9543","fruit","45b3a820-7081-4a61-8cf4-2076594d236b"
"Pineapple","Dried","6.6492","per pound","1","0.1543","pounds","1.0261","fruit","11da8b7d-87c5-4673-b6e0-61963e255f50"
"Pineapple, ready-to-drink","Juice","1.0288","per pint","1","8","fluid ounces","0.5144","fruit","886874c0-5340-4641-8613-aee437449b7c"
"Pineapple, frozen concentrate","Juice","0.6973","per pint","1","8","fluid ounces","0.3486","fruit","47fe13ca-0ad7-4464-858c-9b76f05ab015"
"Plum","Fresh","2.0292","per pound","0.94","0.3638","pounds","0.7852","fruit","48ed56d8-9b70-46a9-9f99-c6464076bc67"
"Plum (prunes)","Dried","5.7042","per pound","1","0.1874","pounds","1.0689","fruit","91eaac05-9851-4fd4-86c8-52512c10046f"
"Plum (prune), ready-to-drink","Juice","1.5522","per pint","1","8","fluid ounces","0.7761","fruit","5930a574-c730-43b2-92d7-d6727ff22e2f"
"Pomegranate","Fresh","2.235","per pound","0.56","0.3417","pounds","1.3638","fruit","86801ee6-866f-433b-aa60-1eb561b7d536"
"Pomegranate, ready-to-drink","Juice","3.122","per pint","1","8","fluid ounces","1.561","fruit","b1017c21-ef42-495e-8477-cc21a4a08c27"
"Raspberries","Fresh","6.6391","per pound","0.96","0.3197","pounds","2.2107","fruit","494b7125-7802-44f4-bf68-f58da1cfcb49"
"Raspberries","Frozen","4.1877","per pound","1","0.3307","pounds","1.3849","fruit","8cb2f97e-d45d-444f-bf1a-c224c5ae97d4"
"Strawberries","Fresh","2.58","per pound","0.94","0.3197","pounds","0.8774","fruit","af597d70-11b6-41ad-b453-71904a1840f7"
"Strawberries","Frozen","2.8189","per pound","1","0.3307","pounds","0.9322","fruit","fa18755a-b80b-4e77-bfc2-214fb2053327"
"Watermelon","Fresh","0.3604","per pound","0.52","0.3307","pounds","0.2292","fruit","95d91866-28e8-4f16-b26b-ac625d1a461f"
"Acorn squash","Fresh","1.1804","per pound","0.4586","0.4519","pounds","1.1633","vegetable","eaf86367-9f90-4c15-88be-ab27874dd178"
"Artichoke","Fresh","2.1913","per pound","0.375","0.3858","pounds","2.2545","vegetable","5132ad6d-529d-4371-a3cd-7e82be5851f4"
"Artichoke","Canned","3.4119","per pound","0.65","0.3858","pounds","2.0251","vegetable","5f310f4e-5c60-404e-b3e4-771e9fc5f54b"
"Asparagus","Fresh","2.7576","per pound","0.4938","0.3968","pounds","2.2159","vegetable","f19c05ba-e271-4b74-9b96-959de9cb364d"
"Asparagus","Canned","3.1269","per pound","0.65","0.3968","pounds","1.909","vegetable","a052a397-2ecf-47f0-89f5-024163fb19cf"
"Asparagus","Frozen","6.7045","per pound","1.0335","0.3968","pounds","2.5742","vegetable","85bfeada-b962-407d-900b-bec7cf98c037"
"Avocados","Fresh","2.2368","per pound","0.7408","0.3197","pounds","0.9653","vegetable","f766fce7-163f-40ad-abef-cf182949e8d5"
"Beets","Canned","1.2684","per pound","0.65","0.3748","pounds","0.7314","vegetable","86b6b643-940b-45a4-83fd-32a190a402cc"
"Black beans","Canned","1.0281","per pound","0.65","0.3858","pounds","0.6102","vegetable","211a9984-6f36-41a8-b673-62807eca89df"
"Black beans","Dried","1.3753","per pound","2.4692","0.3858","pounds","0.2149","vegetable","d141cdd6-5c2c-4afc-a5e6-2c6ee1746496"
"Blackeye peas","Canned","1.0375","per pound","0.65","0.3748","pounds","0.5982","vegetable","582d26d4-b712-4231-9da3-b42171ac2214"
"Blackeye peas","Dried","1.7584","per pound","2.5397","0.3858","pounds","0.2671","vegetable","9b0772b4-aca2-4638-9f43-1042cc8edbdd"
"Broccoli florets","Fresh","2.7486","per pound","1","0.3417","pounds","0.9393","vegetable","3733c807-2e3d-4fbc-830c-6c93dc984d3d"
"Broccoli heads","Fresh","2.3065","per pound","0.78","0.3417","pounds","1.0105","vegetable","d45f56cb-f890-4044-8598-b3dea6182ef2"
"Broccoli","Frozen","2.1543","per pound","0.8818","0.3417","pounds","0.8348","vegetable","c717834c-0950-403e-b0da-b4e848bd28d5"
"Brussels sprouts","Fresh","2.6895","per pound","1.06","0.3417","pounds","0.867","vegetable","38db279e-6b29-492f-8198-0a486b0939b3"
"Brussels sprouts","Frozen","2.6214","per pound","0.96","0.3417","pounds","0.9331","vegetable","1a3d8808-9fa0-4a89-8a6a-33bc1f86c85f"
"Butternut squash","Fresh","1.2325","per pound","0.714","0.4519","pounds","0.7802","vegetable","caf92d58-ea7d-4fb4-82a7-361dba770c33"
"Cabbage, green","Fresh","0.7025","per pound","0.7788","0.3307","pounds","0.2983","vegetable","c18c5c48-98cb-4dc3-b8ff-02d9b333807f"
"Cabbage, red","Fresh","1.0985","per pound","0.7791","0.3307","pounds","0.4663","vegetable","36c7f013-528d-417c-9501-edc57b2bbb88"
"Cabbage, sauerkraut","Canned","1.2823","per pound","0.65","0.3086","pounds","0.6089","vegetable","8106a942-e591-42f4-b5a1-f179adbac819"
"Carrots, cooked whole","Fresh","0.8703","per pound","0.8158","0.3197","pounds","0.341","vegetable","b0753d9a-3b36-4110-bb72-cbb2398d7ddc"
"Carrots, raw whole","Fresh","0.8703","per pound","0.89","0.2756","pounds","0.2695","vegetable","adf67365-0a79-4b27-8641-c3c40d19e767"
"Carrots, baby","Fresh","1.2716","per pound","1","0.2756","pounds","0.3504","vegetable","30a0d287-e4ee-4761-b128-7c376a57fbb0"
"Carrots","Canned","1.1315","per pound","0.65","0.3197","pounds","0.5565","vegetable","d4c3562d-43f5-4545-a2e0-f3d85361d2b2"
"Carrots","Frozen","1.6763","per pound","0.98","0.3197","pounds","0.5468","vegetable","4e8bae9f-37b1-42b7-9111-f1be26aa0a59"
"Cauliflower florets","Fresh","3.5859","per pound","0.9702","0.2756","pounds","1.0185","vegetable","af28d03d-79da-4d03-ae58-d5383ce0b2d1"
"Cauliflower heads","Fresh","1.9769","per pound","0.8926","0.2756","pounds","0.6103","vegetable","6c347e51-63f1-4350-a695-703831511df3"
"Cauliflower","Frozen","1.9946","per pound","0.9304","0.2756","pounds","0.5908","vegetable","feed1633-83aa-4689-8889-55aaeeef96c7"
"Celery, trimmed bunches","Fresh","0.9842","per pound","0.73","0.2646","pounds","0.3567","vegetable","d52422a4-d87f-436e-b6d9-aa6c2d59eeba"
"Celery sticks","Fresh","2.4041","per pound","1","0.2646","pounds","0.636","vegetable","51d4bd74-7fec-4310-bb65-6fab7a6f9121"
"Collard greens","Fresh","2.682","per pound","1.16","0.2866","pounds","0.6626","vegetable","2dc2a770-6f34-4b9b-927e-0b34e4a1f78b"
"Collard greens","Canned","1.0418","per pound","0.65","0.3638","pounds","0.583","vegetable","54b9f615-78fa-4527-a5e7-976f59c7e9b3"
"Collard greens","Frozen","1.9022","per pound","0.8818","0.3638","pounds","0.7846","vegetable","5b805ee8-04f8-4880-b40c-30c5749039fd"
"Corn","Fresh","1.8908","per pound","0.54","0.3638","pounds","1.2737","vegetable","5dd16d0c-c3cc-40aa-ae88-5ad2e059ae5a"
"Corn","Canned","1.0287","per pound","0.65","0.3638","pounds","0.5757","vegetable","2c15d7d5-92ed-46e0-9123-18c2a26521af"
"Corn","Frozen","1.6642","per pound","0.963","0.3638","pounds","0.6286","vegetable","ad645a33-2203-4684-83f2-d5f9731a40cd"
"Cucumbers with peel","Fresh","1.1933","per pound","0.97","0.2646","pounds","0.3255","vegetable","6ec0ea4e-b2bc-44ac-a502-a83eaee1c1df"
"Cucumbers without peel","Fresh","1.1933","per pound","0.73","0.2646","pounds","0.4325","vegetable","11d47e3b-7dbc-4557-b55c-d4ec465aa2a1"
"Great northern beans","Canned","1.0095","per pound","0.65","0.3858","pounds","0.5992","vegetable","d359b79a-a68f-413f-a208-e69b5efa4814"
"Great northern beans","Dried","1.6965","per pound","2.4692","0.3858","pounds","0.2651","vegetable","75050605-b401-4751-a69a-1f8610b4c978"
"Green beans","Fresh","2.1463","per pound","0.8466","0.2756","pounds","0.6987","vegetable","e70db87b-6585-4888-948f-68c98b5c8752"
"Green beans","Canned","1.0175","per pound","0.65","0.2976","pounds","0.4659","vegetable","f15d10a0-43f9-415f-a6f9-b8c3a05b10b7"
"Green beans","Frozen","1.946","per pound","0.903","0.2976","pounds","0.6414","vegetable","936d0e1d-2d36-439a-9676-afa9d8529c80"
"Green peas","Canned","1.2516","per pound","0.65","0.3527","pounds","0.6792","vegetable","da248b41-fe8b-4abf-a906-fe6230d364ec"
"Green peas","Frozen","1.8937","per pound","0.8924","0.3527","pounds","0.7485","vegetable","c777d06e-4d63-4d36-8fcc-616c956fe28f"
"Green peppers","Fresh","1.2772","per pound","0.82","0.2646","pounds","0.4121","vegetable","9b3307fb-de91-4d14-811e-ce113b358093"
"Kale","Fresh","2.5018","per pound","1.05","0.2866","pounds","0.6829","vegetable","6c3bf4e9-d4f5-46e8-8bde-bb097444bb7f"
"Kale","Frozen","2.1257","per pound","0.8995","0.3638","pounds","0.8597","vegetable","a16b212a-b03d-4b2f-95b1-c2970f8917c4"
"Kidney beans","Canned","0.9719","per pound","0.65","0.3858","pounds","0.5768","vegetable","3ec5ac54-7126-4e26-a789-1960dab08a7e"
"Kidney beans","Dried","1.7218","per pound","2.4692","0.3858","pounds","0.269","vegetable","2e840fc3-e055-409a-a6dc-e50e5cd3bb2e"
"Lentils","Dried","1.6493","per pound","2.4692","0.3858","pounds","0.2577","vegetable","ae09ea31-37b0-456e-926f-b26bc3ce3965"
"Lettuce, iceberg","Fresh","0.9952","per pound","0.95","0.2425","pounds","0.254","vegetable","736fe7f6-2ace-46f4-8734-7fe7769f6f42"
"Lettuce, romaine, heads","Fresh","1.8299","per pound","0.94","0.2094","pounds","0.4077","vegetable","9e04f827-0122-4115-8bae-041e05c0b590"
"Lettuce, romaine, hearts","Fresh","2.5766","per pound","0.85","0.2094","pounds","0.6349","vegetable","6f8606cc-796a-4d8b-81af-f0992b8f94c5"
"Lima beans","Canned","1.4004","per pound","0.65","0.3748","pounds","0.8075","vegetable","d5bc634e-ccbc-4b88-bcb0-155fcddd83bb"
"Lima beans","Frozen","1.8995","per pound","1.097","0.3748","pounds","0.6489","vegetable","b4a9693e-dd9b-42aa-b263-3342b5302d9b"
"Lima beans","Dried","2.1861","per pound","2.5397","0.3858","pounds","0.3321","vegetable","2d0dccfc-c65e-4b1a-971c-009293021842"
"Mixed vegetables, peas & carrots","Canned","1.5339","per pound","0.65","0.3392","pounds","0.8004","vegetable","7c7441da-c9b5-4cd0-988f-74dbc14d81a7"
"Mixed vegetables, peas & carrots","Frozen","1.5296","per pound","0.99","0.3392","pounds","0.5241","vegetable","afd3427d-8b91-4e8b-91fc-929d701fe417"
"Mixed vegetables, peas, corn, green beans","Frozen","1.5978","per pound","0.97","0.334","pounds","0.5502","vegetable","af63e6b5-72fa-407b-8b8e-f7f4447e9453"
"Mixed vegetables, broccoli, cauliflower, carrots","Frozen","2.0033","per pound","0.97","0.3105","pounds","0.6413","vegetable","f5949cb1-68bf-4d35-9656-fc6c6aee46bf"
"Mushrooms, whole","Fresh","3.4464","per pound","0.97","0.1543","pounds","0.5483","vegetable","bd8db00f-b164-4cd6-99a8-c5df76ddeb63"
"Mushrooms, sliced","Fresh","3.6417","per pound","1","0.1543","pounds","0.562","vegetable","8a432b82-7c64-413f-bf53-3598d05ca42d"
"Mustard greens","Canned","1.0496","per pound","0.65","0.3307","pounds","0.534","vegetable","6b45dfbe-103b-4fa6-9b5e-fa4825e44e49"
"Mustard greens","Frozen","1.9288","per pound","0.7478","0.3307","pounds","0.853","vegetable","66981b6c-df44-4b03-aa5d-0cf9782aeea0"
"Navy beans","Canned","1.0492","per pound","0.65","0.3858","pounds","0.6228","vegetable","74ee1d83-9ce2-42b1-b7d2-9aa7f70faccd"
"Navy beans","Dried","1.4942","per pound","2.4692","0.3858","pounds","0.2335","vegetable","9e091ac6-7ac7-4a30-a1a2-9c14eb9defe8"
"Okra","Fresh","3.9803","per pound","0.7695","0.3527","pounds","1.8246","vegetable","301a037d-2236-4778-a76f-f11d36727cc0"
"Okra","Frozen","1.8562","per pound","0.8995","0.3748","pounds","0.7734","vegetable","3cf3267d-9c3e-42d5-a55e-b867114df346"
"Olives","Canned","5.7719","per pound","1","0.2976","pounds","1.7179","vegetable","86204974-c90e-469e-a9b1-2a3f451676ea"
"Onions","Fresh","0.9751","per pound","0.9","0.3527","pounds","0.3822","vegetable","ca520c15-0096-472e-b811-5935fedd14f1"
"Pinto beans","Canned","0.8742","per pound","0.65","0.3858","pounds","0.5189","vegetable","91d3816f-a05a-42bf-a811-003f6a0fec54"
"Pinto beans","Dried","1.2933","per pound","2.4692","0.3858","pounds","0.2021","vegetable","2ab2fd7a-9eac-4bf7-8afa-63a4c148de6b"
"Potatoes","Fresh","0.6682","per pound","0.8113","0.2646","pounds","0.2179","vegetable","5455df5a-57b3-48de-aa09-24fa07582ff2"
"Potatoes, french fries","Frozen","1.5371","per pound","0.776","0.3417","pounds","0.6769","vegetable","eb7b9300-cee9-4337-9b8a-e4b7bc7d0fe1"
"Potatoes","Canned","1.107","per pound","0.65","0.3417","pounds","0.582","vegetable","c2419d93-1b7c-4cfd-9a41-84989e9ee1b7"
"Pumpkin","Canned","2.0172","per pound","1","0.5401","pounds","1.0896","vegetable","96cd9094-dfdd-4904-a44a-43ddb90acdc4"
"Radish","Fresh","1.577","per pound","0.9","0.2756","pounds","0.4829","vegetable","805e52c2-9085-4715-a3ea-a152199070bd"
"Red peppers","Fresh","2.1614","per pound","0.82","0.2646","pounds","0.6973","vegetable","cbd6383a-ff50-4a60-a241-d0a9bf5ac967"
"Spinach, boiled","Fresh","2.994","per pound","0.77","0.3307","pounds","1.2859","vegetable","162a7e35-ee71-4dc9-ad34-b4e4d1e6c765"
"Spinach, eaten raw","Fresh","2.994","per pound","1","0.1543","pounds","0.4621","vegetable","729734d6-894f-416f-bd1f-931f2e30bfa7"
"Spinach","Canned","1.3154","per pound","0.65","0.3748","pounds","0.7585","vegetable","e8a96280-61ae-4c0a-93a9-645bb40df752"
"Spinach","Frozen","2.133","per pound","0.776","0.3748","pounds","1.0302","vegetable","795c05d1-ef41-4864-bde4-3959a9e68f65"
"Sweet potatoes","Fresh","1.1198","per pound","0.8818","0.4409","pounds","0.5599","vegetable","0eb5615e-c9f6-480e-ac68-700f9bd46696"
"Tomatoes, grape & cherry","Fresh","4.1458","per pound","0.91","0.3748","pounds","1.7075","vegetable","606d0e3a-ec06-4325-aec6-43fe112d0e37"
"Tomatoes, roma & plum","Fresh","1.1618","per pound","0.91","0.3748","pounds","0.4785","vegetable","6861fb57-aefa-4358-8a2e-844da957de53"
"Tomatoes, large round","Fresh","2.3347","per pound","0.91","0.3748","pounds","0.9616","vegetable","00f042bb-49ac-4aa9-be9a-aa40e8165528"
"Tomatoes","Canned","1.0175","per pound","1","0.5401","pounds","0.5496","vegetable","4f982002-35bd-4140-905d-10495585a74a"
"Turnip greens","Fresh","2.4176","per pound","0.75","0.3197","pounds","1.0304","vegetable","294badb9-26a3-4aaa-9c93-7f01a851cbbe"
"Turnip greens","Canned","1.0429","per pound","0.65","0.3527","pounds","0.566","vegetable","f0da3623-d0f2-4bf2-9cb0-78ea07c599ea"
"Turnip greens","Frozen","1.9451","per pound","0.776","0.3527","pounds","0.8841","vegetable","ad2a8714-e78c-49a2-91cb-183eda76dbe1"
"Zucchini","Fresh","1.5489","per pound","0.7695","0.3968","pounds","0.7987","vegetable","18299ae3-1b5e-42df-b206-593ff7ffd133"
